Year;S&P 500 (includes dividends);US T. Bond;Cálculo ERP;3-month T.Bill4;US T. Bond5; Baa Corporate Bond6;Stocks - Bills;Média
1928;0,438111552;0,008354709;0,429756843;103,08;100,8354709;103,2195515;0,407311552;0,066375604
1929;-0,082979466;0,042038042;-0,125017508;106,337328;105,0743966;106,3345691;-0,114579466;0,066375604
1930;-0,251236364;0,045409314;-0,296645678;111,1756764;109,8457529;106,9085429;-0,296736364;0,066375604
1931;-0,438375489;-0,02558856;-0,412786929;113,7438345;107,0349583;90,14445473;-0,461475489;0,066375604
1932;-0,086423645;0,08790307;-0,174326715;114,9608936;116,4436597;111,4091725;-0,097123645;0,066375604
1933;0,499822254;0,018552721;0,481269533;116,0645182;118,6040064;125,8554815;0,490222254;0,066375604
1934;-0,011885657;0,079634426;-0,091520083;116,3875644;128,0489684;149,5369892;-0,01466899;0,066375604
1935;0,467404211;0,044720477;0,422683733;116,5825136;133,7753794;169,4369707;0,465729211;0,066375604
1936;0,319434103;0,050178754;0,269255349;116,7836184;140,4880613;188,7253635;0,317709103;0,066375604
1937;-0,353367288;0,013791461;-0,367158748;117,1057466;142,4255968;180,3908897;-0,356125621;0,066375604
1938;0,29282654;0,042132485;0,250694055;117,1818653;148,4263412;197,0515789;0,29217654;0,066375604
1939;-0,010975647;0,044122614;-0,055098261;117,2355736;154,9752993;212,7824779;-0,01143398;0,066375604
1940;-0,106728732;0,054024816;-0,160753548;117,2775831;163,3478114;231,1841985;-0,107087065;0,066375604
1941;-0,127714556;-0,020221976;-0,10749258;117,4290666;160,0445959;242,7599909;-0,129006222;0,066375604
1942;0,191737629;0,022948682;0,168788947;117,8312612;163,7174085;255,3347182;0,188312629;0,066375604
1943;0,250613101;0,0249;0,225713101;118,2790199;167,7939719;275,8755538;0,246813101;0,066375604
1944;0,190306769;0,025776112;0,164530658;118,7284802;172,1190481;293,9891664;0,186506769;0,066375604
1945;0,358210843;0,038044173;0,32016667;119,1796484;178,667175;313,9800342;0,354410843;0,066375604
1946;-0,084291475;0,031283745;-0,11557522;119,6325311;184,2565534;321,854757;-0,088091475;0,066375604
1947;0,052;0,009196968;0,042803032;120,3513232;185,951155;322,6984034;0,045991667;0,066375604
1948;0,057045752;0,019510369;0,037535382;121,6089946;189,5791308;333,7894171;0,046595752;0,066375604
1949;0,183032237;0,046634852;0,136397385;122,9649349;198,4201254;351,7382791;0,171882237;0,066375604
1950;0,30805539;0,004295957;0,303759433;124,4446129;199,2725298;366,6478222;0,296022057;0,066375604
1951;0,23678463;-0,002953139;0,23973777;126,3330599;198,6840503;365,9475948;0,22160963;0,066375604
1952;0,181509886;0,022679962;0,158829924;128,5091469;203,190197;382,2002113;0,164284886;0,066375604
1953;-0,012082047;0,041438403;-0,05352045;130,9390406;211,6100742;388,3922842;-0,030990381;0,066375604
1954;0,525633212;0,032898035;0,492735178;132,1676853;218,5716297;412,3091128;0,516249879;0,066375604
1955;0,325973319;-0,013364391;0,33933771;134,4475779;215,650553;420,739556;0,308723319;0,066375604
1956;0,074395119;-0,022557738;0,096952857;137,980188;210,7859642;410,8410092;0,048120119;0,066375604
1957;-0,104573602;0,067970128;-0,17254373;142,4300491;225,1131133;407,8873563;-0,136823602;0,066375604
1958;0,43719955;-0,020990182;0,458189732;144,9522478;220,3879481;434,1148923;0,419491217;0,066375604
1959;0,120564572;-0,026466313;0,147030884;149,8600894;214,5550918;440,9493501;0,086706238;0,066375604
1960;0,003365353;0,116395037;-0,113029684;154,1810553;239,5282397;470,3306306;-0,02546798;0,066375604
1961;0,26637713;0,020609208;0,245767922;157,8107343;244,464727;494,3174927;0,242835463;0,066375604
1962;-0,088114605;0,056935441;-0,145050046;162,187352;258,3834339;526,4250352;-0,115847939;0,066375604
1963;0,226119271;0,016841621;0,20927765;167,3111207;262,7350297;555,191429;0,194527604;0,066375604
1964;0,164154559;0,037280649;0,12687391;173,2450885;272,5299621;583,848963;0,128687892;0,066375604
1965;0,123992425;0,007188551;0,116803874;180,0868258;274,4890576;602,4738002;0,084500758;0,066375604
1966;-0,099709542;0,029079409;-0,128788952;188,8435477;282,4710373;581,7163992;-0,148334542;0,066375604
1967;0,238029665;-0,01580621;0,253835875;196,9764098;278,0062408;586,9240792;0,194962998;0,066375604
1968;0,108148627;0,032746197;0,07540243;207,4916671;287,1098879;615,3614091;0,054765293;0,066375604
1969;-0,082413711;-0,050140493;-0,032273218;221,324445;272,7140565;602,8993298;-0,149080377;0,066375604
1970;0,035611449;0,167547372;-0,131935923;235,4707657;318,4065799;636,9605354;-0,028305218;0,066375604
1971;0,142211503;0,097868966;0,044342537;245,6725367;349,5687027;726,1443493;0,098886503;0,066375604
1972;0,187553629;0,028184491;0,159369139;255,6775507;359,4211185;808,9908376;0,146828629;0,066375604
1973;-0,143080474;0,036586646;-0,17966712;273,6559438;372,5711318;843,9233895;-0,213397141;0,066375604
1974;-0,259017858;0,019886087;-0,278903944;295,0832042;379,9801137;806,9534705;-0,337317858;0,066375604
1975;0,369951371;0,036052536;0,333898835;312,1242593;393,6793604;896,1215391;0,312201371;0,066375604
1976;0,23830999;0,159845607;0,078464383;327,6498401;456,6072769;1073,13076;0,188568323;0,066375604
1977;-0,069797041;0,012899606;-0,082696647;344,9142563;462,4973309;1179,957309;-0,122488707;0,066375604
1978;0,065092839;-0,007775807;0,072868646;369,7078427;458,901041;1216,979472;-0,006790494;0,066375604
1979;0,185194902;0,006707203;0,178487699;406,9343416;461,9789835;1192,529014;0,084503235;0,066375604
1980;0,317352455;-0,029897443;0,347249898;453,4638924;448,1669934;1152,988588;0,203010788;0,066375604
1981;-0,047023902;0,081992153;-0,129016056;517,0622034;484,9131702;1250,559088;-0,187273902;0,066375604
1982;0,204190551;0,328145495;-0,123954944;571,9440474;644,0352424;1613,877213;0,098048884;0,066375604
1983;0,223371559;0,032002094;0,191369464;621,1931961;664,6457191;1875,233163;0,137263225;0,066375604
1984;0,06146142;0,137333643;-0,075872223;680,3463182;755,9239373;2168,129718;-0,03376358;0,066375604
1985;0,312351495;0,257124882;0,055226613;731,2305532;950,2907905;2685,502748;0,237559828;0,066375604
1986;0,184945788;0,242842151;-0,057896364;774,9459531;1181,061451;3262,496852;0,125162454;0,066375604
1987;0,058127216;-0,049605089;0,107732306;819,6990819;1122,474792;3337,203009;0,000377216;0,066375604
1988;0,165371928;0,082235958;0,08313597;874,3525182;1214,782582;3841,623582;0,098696928;0,066375604
1989;0,314751836;0,176936472;0,137815365;945,27708;1429,721926;4448,203134;0,23363517;0,066375604
1990;-0,030644516;0,062353753;-0,092998269;1016,109843;1518,870454;4721,325604;-0,105577849;0,066375604
1991;0,302348431;0,1500451;0,152303331;1070,725747;1746,769524;5564,246864;0,248598431;0,066375604
1992;0,07493728;0,093616373;-0,018679093;1107,469485;1910,295751;6241,54123;0,040620613;0,066375604
1993;0,099670515;0,142109576;-0,042439061;1140,665883;2181,76707;7267,121152;0,069695515;0,066375604
1994;0,013259207;-0,080366556;0,093625762;1189,106161;2006,425966;7171,253046;-0,02920746;0,066375604
1995;0,371951989;0,234807801;0,137144188;1254,388089;2477,550435;8616,706456;0,317051989;0,066375604
1996;0,22680966;0,014286078;0,212523582;1317,180666;2512,944914;9029,670679;0,176751327;0,066375604
1997;0,331036531;0,099391303;0,231645228;1383,840984;2762,709782;10098,32202;0,280428198;0,066375604
1998;0,283379533;0,149214319;0,134165214;1449,942455;3174,945642;10900,67977;0,235612866;0,066375604
1999;0,20885351;-0,082542148;0,291395658;1517,195619;2912,878809;10992,59032;0,162470177;0,066375604
2000;-0,09031819;0,166552671;-0,256870861;1605,445831;3398,026556;12018,16443;-0,148484856;0,066375604
2001;-0,118497591;0,055721812;-0,174219403;1659,843688;3587,370752;12957,88282;-0,152380925;0,066375604
2002;-0,21966048;0,151164004;-0,370824483;1686,442683;4129,652078;14535,87665;-0,23568548;0,066375604
2003;0,283558001;0,003753186;0,279804815;1703,489807;4145,15143;16502,87323;0,273449667;0,066375604
2004;0,107427759;0,044906837;0,062520922;1726,856009;4331,29707;18134,78104;0,093711093;0,066375604
2005;0,048344775;0,02867533;0,019669446;1781,194412;4455,498441;19026,56579;0,016878109;0,066375604
2006;0,15612558;0,019610012;0,136515567;1865,385534;4542,87082;20367,63381;0,108858913;0,066375604
2007;0,054847352;0,102099219;-0,047251867;1946,591985;5006,694384;21009,29292;0,011314019;0,066375604
2008;-0,365523441;0,201012799;-0,56653624;1973,162965;6013,104038;19945,0221;-0,379173441;0,066375604
2009;0,259352339;-0,111166953;0,370519292;1976,12271;5344,645583;24598,09653;0,257852339;0,066375604
2010;0,148210923;0,084629339;0,063581584;1978,823411;5796,959405;26651,50685;0,146844256;0,066375604
2011;0,020983747;0,16035335;-0,139369603;1979,862293;6726,521265;30005,46957;0,020458747;0,066375604
2012;0,158905852;0,02971572;0,129190133;1981,561675;6926,404686;33043,42671;0,158047519;0,066375604
2013;0,321450859;-0,091045688;0,412496547;1982,717586;6295,785407;32694,52077;0,320867525;0,066375604
2014;0,135244216;0,107461805;0,027782412;1983,361969;6972,341867;36089,81661;0,134919216;0,066375604
2015;0,013788916;0,012842997;0,00094592;1984,403234;7061,887631;35838,08351;0,013263916;0,066375604
2016;0,117730809;0,006905505;0,110825304;1990,703714;7110,653529;39552,73879;0,114555809;0,066375604
2017;0,216054814;0,028017163;0,188037652;2009,233848;7309,873866;43398,80833;0,206746481;0,066375604
2018;-0,042268693;-0,000166924;-0,042101769;2048,196241;7308,653674;42199,8606;-0,06166036;0,066375604
2019;0,3121168;0,096356307;0,215760493;2079,943283;8012,888554;48668,87032;0,2966168;0,066375604
2020;0,180232018;0,113318976;0,066913042;2081,815232;8920,900883;53736,04784;0,179332018;0,066375604
2021;0,284688518;-0,044160344;0,328848862;2083,064321;8526,950827;54237,64406;0,284088518;0,066375604
2022;-0,180089715;-0,178281715;-0,001808;2175,135764;7006,751407;46379,53245;-0,224289715;0,066375604
